STT,Tên sản phẩm,Danh mục,Phong cách,Giá,Kích thước,Chất liệu,Màu sắc,Mô tả,Hình ảnh
1,Sofa,Bàn ghế,Contemporary,"40,069,243 VNĐ","221cm x 87,6cm x 70cm",Vải nhung x nệm cao su,nâu,"màu nâu trung tính, hợp với nhiều
không gian phòng khách",product-contemporary-sofa-01.jpg
2,Ghế xếp đa năng,Bàn ghế,Contemporary,"14,570,374 VNĐ",90cm x 90cm x 94cm,"Hỗn hợp cotton, 
hỗn hợp linen",gỗ màu vàng nhạt,"màu gỗ vàng nhạt tươi sáng, hợp 
với các không gian phòng sáng",product-contemporary-ghe-xep-02.jpg
3,Kệ tủ,Tủ,Contemporary,"7,545,247 VNĐ","137,2cm x 40cm x 77,2cm",Gỗ công nghiệp,màu quả óc chó,"màu gỗ sang trọng. thích hợp
làm kệ TV hoặc tủ đồ ở bất cứ 
không gian nào ",product-contemporary-ke-tu-03.jpg
4,Đồng hồ cát,Phụ kiện,Contemporary,"1,378,746 VNĐ","12,7cm x 12,7cm x 27,9cm","Nhôm, thủy tinh",màu nâu đồng,Thích hợp để trang trí ở các kệ tủ,product-contemporary-dong-ho-cat-04.jpg
5,Đèn,Phụ kiện,Contemporary,"2,081,259 VNĐ",14cm x 14cm x 39cm,kim loại tổng hợp,màu nâu đồng,"chân đèn được cách điệu thành
hình ngọn lửa đang cháy, dùng làm đèn
ngủ hoặc trang trí cho không gian phòng",product-contemporary-den-05.jpg
6,Đèn bàn,Phụ kiện,Contemporary,"1,274,670 VNĐ",13.8cm x 13.8cm x 29cm,Thép,đen,Đèn bàn để ở phòng khách hoặc bàn học,product-contemporary-den-ban-06.jpg
7,Tranh Thánh George,Phụ kiện,Contemporary,"6,504,490 VNĐ",45.7 cm x 61cm,gỗ,màu sơn dầu tổng hợp,"Tranh treo tường, vẽ Thánh George theo 
phong cách Chính thống giáo",product-contemporary-tranh-thanh-george-07.jpg
8,Thảm trải sàn,Phụ kiện,Contemporary,"7,024,869.8 VNĐ",304.8cm x 243.8cm,nhựa Polypropylene,màu tổng hợp,"thảm trải sàn theo phong cách nghệ thuật
hình khối",product-contemporary-tham-trai-san-08.jpg
9,Chậu cây,Phụ kiện,Contemporary,"2,289,672 VNĐ",12.1cm x 5.1cm x 12.7cm,gốm sứ,"xanh, lục, xanh dương
vàng","chậu cây lấy cảm hứng từ vòng xoay trong
các rạp xiếc",product-contemporary-chau-cay-09.jpg
10,Sofa đơn,Bàn ghế,Contemporary,"12,228,669",119.4cm x 119.4cm x 68.6cm,"cao su, vải, nhung",đỏ,"sofa đơn để ở phòng ngủ hoặc phòng khách
lấy cảm hứng giống bông hoa Tulip",product-contemporary-sofa-don-10.jpg
